id | url | detected_activity | severity | timestamp
144 | http://drugalcay2rkclrtjsdzinba7ahpovl5ay5nlf53qtynwbfs7d6gstyd.onion/cocaine/ | fentanyl | High | 2024-12-09 12:44:36
145 | http://ejtgtroc37edw4xl2bplccht4gzvd7du5aj363r45skwldsaduudb2yd.onion/product/buy-crack-cocaine-online/?add-to-cart=207 | cocaine | High | 2024-12-09 12:47:18
146 | http://pharmlwe6trwo3e45ciorakxjhiee4wyki4a7sya3wmxa6lhsjpxrwid.onion/product/cocaine-powderpastecracked/?add_to_wishlist=18237 | substances | High | 2024-12-09 13:11:19
147 | http://zkxvemrksvvwups4zlizjkzafntbfhd6w7w7mmjqpwrbolamlhhwyxad.onion/?paged=7 | ecstasy | High | 2024-12-09 13:19:03
148 | http://5h3ihckjcsh6yi5hyhqyf5ixutxnhxwb6pn2qyqpg3yb466cnransgyd.onion/product/acetyl-fentanyl/?add_to_wishlist=574 | dark web marketplace | Medium | 2024-12-09 13:20:24
149 | http://fee23wx7oadn65sjurqxvl3nm33lhejvqub7tbyzlo3j3n6tz4ucx3ad.onion/fr/product-tag/cocaine/ | carding | High | 2024-12-09 13:57:21
150 | http://fluxgw7ec5ers4wtvnce35aveys3icsx5fmnofm7v5hbm4bsnu6ohoqd.onion/?product_tag=cocaine | carding | High | 2024-12-09 13:57:44
151 | http://lkbp4mwcptpce6ywqqxfcpyxnevgrap7m5c53jbn6a6jzxt5quwja2ad.onion/product-category/cocaine/?add-to-cart=42 | ecstasy | High | 2024-12-09 14:00:48
152 | http://drugalcay2rkclrtjsdzinba7ahpovl5ay5nlf53qtynwbfs7d6gstyd.onion/product-category/cocaine/ | fentanyl | High | 2024-12-09 14:16:51
153 | http://ejtgtroc37edw4xl2bplccht4gzvd7du5aj363r45skwldsaduudb2yd.onion/product/buy-crack-cocaine-online/?add-to-cart=296 | cocaine | High | 2024-12-09 14:18:16
154 | http://procczldgsdvhvskqvdbrzflhgtkqzgzxjjurir4du6r2f3ioa5gq3qd.onion/product-tag/cocaine-bricks/index.html | cocaine | High | 2024-12-09 15:04:56
155 | http://fglikadgw3shiiybquob4dbgqji3mqyjq66tnwmjvnn7asvuu4ra2lid.onion/product/buy-cocaine-online/?add_to_wishlist=647 | fentanyl | High | 2024-12-09 15:05:51
156 | http://stuffdleakt4xraufncfbovubw6pmdv3i2wekbdrblqph43fwmkhsvqd.onion/product-category/drugs/stimulators/cocaine/?add-to-cart=479 | carding | High | 2024-12-09 15:06:34
157 | http://hacks6hwwshtxlqjcjpbaqluisi26by7iqaclumiprfkrf4xa3xi4uid.onion/?product_tag=uncut-fishscale-cocaine | carding | High | 2024-12-09 15:15:17
158 | http://ejtgtroomipxd45hrmohhxzstjtqxbqxjonxjwhptppfu2ua3jhlxsad.onion/product/buy-crack-cocaine-online/?add-to-cart=296 | cocaine | High | 2024-12-09 15:17:35
159 | http://vlogmee4gzejvfeoakjq6dz7zkkvqwf6e2wxehgteozbyf73v2b6qqyd.onion/cocaine-for-sale-buy-pure-cocaine-cut-and-uncut-cocaine-buy-crack-cocaine-email-maoyvigmail-com-telegram-mao_yvi-2/ | hitman for hire | High | 2024-12-09 15:18:37
160 | http://drugs2mezewalwfa37jypv3urvfhpe5z62c7yyptafcb6xo6xhbwgpyd.onion/?product_tag=uncut-fishscale-cocaine | carding | High | 2024-12-09 15:18:57
161 | http://mfipcrcziccygkyxfxnxybzvdyvubhbo3etqfn6fv64ajtuh6krpgbyd.onion/?product=powder-cocaine-95-2 | cartel | High | 2024-12-09 15:53:12
